UF;CATEGORIA;TIPO_RELATORIO;TOTAL
PR;Empresa de Segurança Privada;TRANSFERENCIAS;203
PR;Órgão público sem taxa;REGISTROS NOVOS;20
PR;Servidor Público(Porte por prerrogativa de função);REGISTROS NOVOS;15
PR;Servidor Público(Porte por prerrogativa de função);RENOVAÇÕES;12
PR;Servidor Público(Porte por prerrogativa de função);TRANSFERENCIAS;2
RJ;Cidadão;REGISTROS NOVOS;612
RJ;Cidadão;RENOVAÇÕES;86
RJ;Cidadão;TRANSFERENCIAS;35
RJ;Empresa de Segurança Privada;REGISTROS NOVOS;12
RJ;Empresa de Segurança Privada;RENOVAÇÕES;606
RJ;Servidor Público(Porte por prerrogativa de função);REGISTROS NOVOS;61
RJ;Servidor Público(Porte por prerrogativa de função);RENOVAÇÕES;24
RJ;Servidor Público(Porte por prerrogativa de função);TRANSFERENCIAS;10
RN;Cidadão;REGISTROS NOVOS;115
RN;Cidadão;RENOVAÇÕES;12
RN;Cidadão;TRANSFERENCIAS;16
RN;Empresa de Segurança Privada;REGISTROS NOVOS;11
RN;Servidor Público(Porte por prerrogativa de função);REGISTROS NOVOS;19
RN;Servidor Público(Porte por prerrogativa de função);RENOVAÇÕES;1
RO;Caçador de Subsistência;TRANSFERENCIAS;2
RO;Cidadão;REGISTROS NOVOS;293
RO;Cidadão;RENOVAÇÕES;19
RO;Cidadão;TRANSFERENCIAS;36
RO;Empresa de Segurança Privada;REGISTROS NOVOS;2
RO;Órgão público sem taxa;REGISTROS NOVOS;39
RO;Servidor Público(Porte por prerrogativa de função);REGISTROS NOVOS;30
RO;Servidor Público(Porte por prerrogativa de função);RENOVAÇÕES;4
RO;Servidor Público(Porte por prerrogativa de função);TRANSFERENCIAS;9
RR;Cidadão;REGISTROS NOVOS;14
RR;Cidadão;RENOVAÇÕES;2
RR;Cidadão;TRANSFERENCIAS;4
RR;Empresa de Segurança Privada;TRANSFERENCIAS;219
RR;Servidor Público(Porte por prerrogativa de função);REGISTROS NOVOS;4
RR;Servidor Público(Porte por prerrogativa de função);TRANSFERENCIAS;1
RS;Caçador de Subsistência;TRANSFERENCIAS;1
RS;Cidadão;REGISTROS NOVOS;631
RS;Cidadão;RENOVAÇÕES;146
RS;Cidadão;TRANSFERENCIAS;119
RS;Empresa com Segurança Orgânica;REGISTROS NOVOS;6
RS;Empresa de Segurança Privada;REGISTROS NOVOS;3
RS;Empresa de Segurança Privada;RENOVAÇÕES;1
RS;Empresa de Segurança Privada;TRANSFERENCIAS;8
RS;Órgão público sem taxa;REGISTROS NOVOS;715
RS;Servidor Público(Porte por prerrogativa de função);REGISTROS NOVOS;54
RS;Servidor Público(Porte por prerrogativa de função);RENOVAÇÕES;21
RS;Servidor Público(Porte por prerrogativa de função);TRANSFERENCIAS;13
SC;Caçador de Subsistência;TRANSFERENCIAS;1
SC;Cidadão;REGISTROS NOVOS;782
SC;Cidadão;RENOVAÇÕES;97
SC;Cidadão;TRANSFERENCIAS;63
SC;Empresa de Segurança Privada;REGISTROS NOVOS;17
SC;Órgão público sem taxa;REGISTROS NOVOS;11
SC;Servidor Público(Porte por prerrogativa de função);REGISTROS NOVOS;34
SC;Servidor Público(Porte por prerrogativa de função);RENOVAÇÕES;1
SC;Servidor Público(Porte por prerrogativa de função);TRANSFERENCIAS;3
SE;Cidadão;REGISTROS NOVOS;155
SE;Cidadão;RENOVAÇÕES;6
SE;Cidadão;TRANSFERENCIAS;9
SE;Empresa de Segurança Privada;TRANSFERENCIAS;17
SE;Órgão público sem taxa;REGISTROS NOVOS;50
SE;Servidor Público(Porte por prerrogativa de função);REGISTROS NOVOS;19
SE;Servidor Público(Porte por prerrogativa de função);RENOVAÇÕES;6
SE;Servidor Público(Porte por prerrogativa de função);TRANSFERENCIAS;1
SP;Cidadão;REGISTROS NOVOS;462
SP;Cidadão;RENOVAÇÕES;83
SP;Cidadão;TRANSFERENCIAS;62
SP;Empresa Comercial;TRANSFERENCIAS;3
SP;Empresa de Segurança Privada;REGISTROS NOVOS;22
SP;Empresa de Segurança Privada;TRANSFERENCIAS;50
SP;Órgão público sem taxa;REGISTROS NOVOS;1
SP;Servidor Público(Porte por prerrogativa de função);REGISTROS NOVOS;151
SP;Servidor Público(Porte por prerrogativa de função);RENOVAÇÕES;28
SP;Servidor Público(Porte por prerrogativa de função);TRANSFERENCIAS;54
TO;Cidadão;REGISTROS NOVOS;101
TO;Cidadão;RENOVAÇÕES;6
TO;Cidadão;TRANSFERENCIAS;7
TO;Empresa com Segurança Orgânica;REGISTROS NOVOS;1
TO;Órgão público sem taxa;REGISTROS NOVOS;500
TO;Servidor Público(Porte por prerrogativa de função);REGISTROS NOVOS;12
TO;Servidor Público(Porte por prerrogativa de função);RENOVAÇÕES;3
