"UF";"CATEGORIA";"TIPO_RELATORIO";TOTAL
"RO";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";33
"RO";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";11
"RO";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";5
"RO";"Órgão público sem taxa";"TRANSFERENCIAS";39
"RR";"Caçador de Subsistência";"RENOVAÇÕES";1
"RR";"Cidadão";"REGISTROS NOVOS";34
"RR";"Cidadão";"RENOVAÇÕES";2
"RR";"Cidadão";"TRANSFERENCIAS";2
"RR";"Empresa de Segurança Privada";"REGISTROS NOVOS";5
"RR";"Empresa de Segurança Privada";"TRANSFERENCIAS";10
"RR";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";16
"RR";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";3
"RR";"Órgão público sem taxa";"REGISTROS NOVOS";71
"RS";"Cidadão";"REGISTROS NOVOS";934
"RS";"Cidadão";"RENOVAÇÕES";342
"RS";"Cidadão";"TRANSFERENCIAS";158
"RS";"Empresa de Segurança Privada";"REGISTROS NOVOS";9
"RS";"Empresa de Segurança Privada";"RENOVAÇÕES";1
"RS";"Empresa de Segurança Privada";"TRANSFERENCIAS";94
"RS";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";53
"RS";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";30
"RS";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";29
"RS";"Órgão público sem taxa";"REGISTROS NOVOS";172
"RS";"Órgão público sem taxa";"TRANSFERENCIAS";42
"SC";"Cidadão";"REGISTROS NOVOS";696
"SC";"Cidadão";"RENOVAÇÕES";179
"SC";"Cidadão";"TRANSFERENCIAS";45
"SC";"Empresa de Segurança Privada";"REGISTROS NOVOS";26
"SC";"Empresa de Segurança Privada";"TRANSFERENCIAS";30
"SC";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";48
"SC";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";7
"SC";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";3
"SC";"Órgão público sem taxa";"TRANSFERENCIAS";30
"SE";"Cidadão";"REGISTROS NOVOS";74
"SE";"Cidadão";"RENOVAÇÕES";10
"SE";"Cidadão";"TRANSFERENCIAS";5
"SE";"Empresa de Segurança Privada";"REGISTROS NOVOS";1
"SE";"Empresa de Segurança Privada";"TRANSFERENCIAS";5
"SE";"Servidor Público(Porte por prerrogativa de função)";"REGISTROS NOVOS";5
"SE";"Servidor Público(Porte por prerrogativa de função)";"RENOVAÇÕES";2
"SE";"Servidor Público(Porte por prerrogativa de função)";"TRANSFERENCIAS";3
"SE";"Órgão público sem taxa";"REGISTROS NOVOS";2
"SE";"Órgão público sem taxa";"TRANSFERENCIAS";12
"SP";"Caçador de Subsistência";"REGISTROS NOVOS";1
